TABLE_SCHEMA	TABLE_NAME	ORDINAL_POSITION	COLUMN_NAME	DATA_TYPE	IS_NULLABLE	CHARACTER_MAXIMUM_LENGTH	NUMERIC_PRECISION	NUMERIC_SCALE	SOURCE
img-db-2 postgresql.img_gold	gold_analysis_project	1	gold_analysis_project_id	BIGINT	YES		64	0	information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	2	its_analysis_project_id	BIGINT	YES		64	0	information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	3	analysis_project_name	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	4	ncbi_tax_id	BIGINT	YES		64	0	information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	5	img_dataset_id	BIGINT	YES		64	0	information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	6	analysis_product_name	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	7	visibility	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	8	domain	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	9	ncbi_phylum	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	10	ncbi_class	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	11	ncbi_order	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	12	ncbi_family	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	13	ncbi_genus	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	14	ncbi_species	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	15	gold_analysis_project_type	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	16	gold_proposal_name	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	17	ecosystem	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	18	ecosystem_category	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	19	ecosystem_subtype	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	20	specific_ecosystem	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	21	reference_img_oid	BIGINT	YES		64	0	information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	22	pi_name	CHARACTER VARYING	YES	65536			information_schema
img-db-2 postgresql.img_gold	gold_analysis_project	23	pi_email	CHARACTER VARYING	YES	65536			information_schema
