constraint_name	src_table	src_column	tgt_schema	tgt_table	tgt_column	column_position
ap_contact_1	analysis_project	added_by	gold	contact	contact_id	1
ap_contact_2	analysis_project	pi_id	gold	contact	contact_id	1
ap_domain	analysis_project	domain	gold	cvdomain	term	1
ap_ecosystem_path_id	analysis_project	ecosystem_path_id	gold	ecosystem_classification_2	ecosystem_id	1
ap_gold_phylogeny	analysis_project	gold_phylogeny	gold	cvphylogeny	term	1
ap_img_use	analysis_project	img_use	gold	cvimguse	term	1
ap_mod_by_fk	analysis_project	mod_by	gold	contact	contact_id	1
ap_organism_id	analysis_project	organism_id	gold	organism_v2	organism_id	1
ap_project_type_1	analysis_project	analysis_project_type	gold	cvap_type	term	1
ap_ref_ap_id	analysis_project	reference_ap_id	gold	analysis_project	analysis_project_id	1
ap_rep_ap_id	analysis_project	replaces_ap_id	gold	analysis_project	analysis_project_id	1
ap_review_status	analysis_project	review_status	gold	cvap_review_status	term	1
ap_study_id	analysis_project	study_id	gold	study	study_id	1
fk_analysis_project_annot_vers	analysis_project	img_annotation_version	gold	img_annotation	version	1
fk_analysis_system	analysis_project	analysis_system	gold	cvanalysis_system	term	1
fk_ap_annot_vers2	analysis_project	suggest_img_annotation_version	gold	img_annotation	version	1
fk_ap_completion	analysis_project	completion	gold	cvap_completion	term	1
fk_ap_is_nonowner	analysis_project	ap_for_nonowner	gold	cvyes_no	term	1
fk_ap_test_yes_no	analysis_project	is_test	gold	cvyes_no	term	1
fk_is_public	analysis_project	is_public	gold	cvyes_no	term	1
fk_status_id	analysis_project	status_id	gold	cvap_status	id	1
sys_c0012296	analysis_project_sra_run_v2	analysis_project_id	gold	analysis_project	analysis_project_id	1
sys_c0012297	analysis_project_sra_run_v2	sra_run_id	gold	sra_run_v2	sra_run_id	1
assembly_ap_id	assembly	analysis_project_id	gold	analysis_project	analysis_project_id	1
fk_assembly_1	assembly	method	gold	assembly_method	name	1
assembly_library_fk1	assembly_library	assembly_id	gold	assembly	assembly_id	1
assembly_library_fk2	assembly_library	library_id	gold	library	id	1
assembly_method_mapping_fk1	assembly_method_mapping	uncurated_id	gold	assembly_method	assembly_method_id	1
assembly_method_mapping_fk2	assembly_method_mapping	curated_id	gold	assembly_method	assembly_method_id	1
audit_log_fk_1	audit_log	user_id	gold	contact	contact_id	1
bioproject_submission_fk_1	bioproject_submission_2	analysis_project_id	gold	analysis_project	analysis_project_id	1
bioproject_submission_fk_2	bioproject_submission_2	project_id	gold	project	project_id	1
bios_body_prods_fk	biosample	host_body_product	gold	cvbody_product	term	1
bios_body_site_fk	biosample	host_body_site	gold	cvbody_site	term	1
bios_body_subsite_fk	biosample	host_body_subsite	gold	cvbody_subsite	term	1
bios_envo_broad_fk	biosample	env_broad_scale	gold	envo_terms_labels	envo_term_id	1
bios_envo_local_fk	biosample	env_local_scale	gold	envo_terms_labels	envo_term_id	1
bios_envo_medium_fk	biosample	env_medium	gold	envo_terms_labels	envo_term_id	1
bios_h2s_present_fk	biosample	h2s_present	gold	cvyes_no	term	1
bios_longhurst_code_fk	biosample	longhurst_code	gold	longhurst_code	term	1
bios_mod_by_fk	biosample	mod_by	gold	contact	contact_id	1
bios_salinity_fk	biosample	salinity	gold	cvsalinity	term	1
bios_specimen_fk	biosample	specimen	gold	cvspecimen	term	1
biosample_contact_fk1	biosample	submitter_id	gold	contact	contact_id	1
biosample_country_fk1	biosample	sample_isolation_country_id	gold	cvcountry	id	1
biosample_ecosystem_path_id	biosample	ecosystem_path_id	gold	ecosystem_classification_2	ecosystem_id	1
