constraint_name	src_table	src_column	tgt_schema	tgt_table	tgt_column	column_position
biosample_publication_fk1	biosample	isolation_publication_id	gold	publication	publication_id	1
fk_biosample_active	biosample	active	gold	cvyes_no	term	1
fk_biosample_built_environment_package	biosample	package_built_environment_id	gold	package_built_environment	package_built_environment_id	1
fk_biosample_host_associated_package	biosample	package_host_associated_id	gold	package_host_associated	id	1
fk_biosample_human_associated_package	biosample	package_human_associated_id	gold	package_human_associated	package_human_associated_id	1
fk_biosample_hydrocarbon_core_package	biosample	hydrocarbon_core_package_id	gold	package_hydrocarbon_core	hydrocarbon_core_package_id	1
fk_biosample_hydrocarbon_fs_package	biosample	hydrocarbon_fs_package_id	gold	package_hydrocarbon_fs	hydrocarbon_fs_package_id	1
fk_biosample_microbial_mat_package	biosample	microbial_mat_package_id	gold	package_microbial_mat	microbial_mat_package_id	1
fk_biosample_plant_package	biosample	plant_package_id	gold	package_plant	plant_package_id	1
fk_biosample_sediment_package	biosample	sediment_package_id	gold	package_sediment	sediment_package_id	1
fk_biosample_soil_package	biosample	soil_package_id	gold	package_soil	soil_package_id	1
fk_biosample_test_yes_no	biosample	is_test	gold	cvyes_no	term	1
fk_biosample_wastewater_package	biosample	package_wastewater_id	gold	package_wastewater	package_wastewater_id	1
fk_biosample_water_package	biosample	water_package_id	gold	package_water	water_package_id	1
host_gender_fk	biosample	host_gender	gold	cvhost_gender	term	1
irradiance_fk	biosample	irradiance	gold	cvirradiance	term	1
latlong_inf_fk	biosample	lat_long_inferred	gold	cvlatlong	term	1
fk_biosample_disease_1	biosample_disease	biosample_id	gold	biosample	biosample_id	1
fk_biosample_disease_2	biosample_disease	disease_id	gold	cvdisease	id	1
fk_bios_sub_1	biosample_submission_2	analysis_project_id	gold	analysis_project	analysis_project_id	1
contact_cvroles_fk	contact	user_role	gold	cvroles	term	1
contact_master_contact_id	contact	master_contact_id	gold	contact	contact_id	1
fk_ecosystem_classification_1	ecosystem_classification_2	parent	gold	ecosystem_classification_2	ecosystem_id	1
sys_c0012340	ena	analysis_project_id	gold	analysis_project	analysis_project_id	1
genbank_fk	genbank	analysis_project_id	gold	analysis_project	analysis_project_id	1
fk_genbank_ena_registration_1	genbank_ena_registration	analysis_project_id	gold	analysis_project	analysis_project_id	1
hmp_project_hmpcv_reposit_fk1	hmp_project	repository_submission_status	gold	hmpcv_repository_status	id	1
hmp_project_project_fk1	hmp_project	project_id	gold	project	project_id	1
fk_img_annotation_id	img_annotation_lookup	img_annotation_id	gold	img_annotation	id	1
fk_institution_1	institution	is_curated	gold	cvyes_no	term	1
fk_institution_2	institution	ror_id	gold	ror	ror_id	1
institution_fk	institution_mapping	institution_id	gold	institution	id	1
raw_fk	institution_mapping	raw_id	gold	institution_raw	id	1
fk_institution_raw_1	institution_raw	ror_id	gold	ror	ror_id	1
fk_job_excel_1	job	upload_excel_id	gold	excel	id	1
fk_job_excel_2	job	download_excel_id	gold	excel	id	1
fk_job_request_contact_id	job	added_by	gold	contact	contact_id	1
fk_library_1	library	sequencing_method_id	gold	sequencing_method	id	1
sys_c0012349	ncbi_biosample_habitat	ncbi_biosample_id	gold	ncbi_raw_biosample	ncbi_biosample_id	1
fk_ncbi_genbank_ncbi_assembly	ncbi_genbank	ncbi_assembly_id	gold	ncbi_assembly	ncbi_assembly_id	1
ncbi_raw_bioproject_biosample__ncbi_bioproject_id_fkey1	ncbi_raw_bioproject_biosample	ncbi_bioproject_id	gold	ncbi_raw_bioproject	ncbi_bioproject_id	1
ncbi_raw_bioproject_biosample__ncbi_biosample_id_fkey1	ncbi_raw_bioproject_biosample	ncbi_biosample_id	gold	ncbi_raw_biosample	ncbi_biosample_id	1
sys_c0012337	ncbi_taxonomy	deleted	gold	cvyes_no_only	term	1
organism_biotic_rel_fk	organism_biotic_rel	organism_id	gold	organism_v2	organism_id	1
organism_biotic_rel_fk1	organism_biotic_rel	biotic_relationship_id	gold	cvbiotic_relationship	id	1
organism_body_prod_org_v2_fk	organism_body_product	organism_id	gold	organism_v2	organism_id	1
organism_body_product_cvb_fk1	organism_body_product	body_product_id	gold	cvbody_product	id	1
organism_cell_arrang_org_v2_fk	organism_cell_arrangement	organism_id	gold	organism_v2	organism_id	1
organism_cell_arrangement_fk2	organism_cell_arrangement	cell_arrangement_id	gold	cvcell_arrangement	id	1
organism_disease_cvdiseas_fk1	organism_disease	disease_id	gold	cvdisease	id	1
organism_disease_org_v2_fk	organism_disease	organism_id	gold	organism_v2	organism_id	1
organism_energy_source_or_fk1	organism_energy_source	energy_source_id	gold	cvenergy_source	id	1
organism_energy_source_org_fk	organism_energy_source	organism_id	gold	organism_v2	organism_id	1
organism_habitat_cvhabita_fk1	organism_habitat	habitat_id	gold	cvhabitat	id	1
organism_habitat_organ_v2_fk	organism_habitat	organism_id	gold	organism_v2	organism_id	1
organism_metabol_org_v2_fk	organism_metabolism	organism_id	gold	organism_v2	organism_id	1
organism_metabolism_cvmet_fk1	organism_metabolism	metabolism_id	gold	cvmetabolism	id	1
organism_phenotype_cvphen_fk1	organism_phenotype	phenotype_id	gold	cvphenotype	id	1
organism_phenotype_org_v2_fk	organism_phenotype	organism_id	gold	organism_v2	organism_id	1
biosample_v2_fk	organism_v2	biosample_id	gold	biosample	biosample_id	1
cvdomain_fk	organism_v2	domain	gold	cvdomain	term	1
fk_organism_active	organism_v2	active	gold	cvyes_no	term	1
fk_organism_test_yes_no	organism_v2	is_test	gold	cvyes_no	term	1
fk_organism_v2_built_environment_package	organism_v2	package_built_environment_id	gold	package_built_environment	package_built_environment_id	1
fk_organism_v2_host_associated_package	organism_v2	package_host_associated_id	gold	package_host_associated	id	1
fk_organism_v2_human_associated_package	organism_v2	package_human_associated_id	gold	package_human_associated	package_human_associated_id	1
fk_organism_v2_hydrocarbon_core_package	organism_v2	hydrocarbon_core_package_id	gold	package_hydrocarbon_core	hydrocarbon_core_package_id	1
fk_organism_v2_hydrocarbon_fs_package	organism_v2	hydrocarbon_fs_package_id	gold	package_hydrocarbon_fs	hydrocarbon_fs_package_id	1
fk_organism_v2_microbial_mat_package	organism_v2	microbial_mat_package_id	gold	package_microbial_mat	microbial_mat_package_id	1
fk_organism_v2_plant_package	organism_v2	plant_package_id	gold	package_plant	plant_package_id	1
fk_organism_v2_sediment_package	organism_v2	sediment_package_id	gold	package_sediment	sediment_package_id	1
fk_organism_v2_soil_package	organism_v2	soil_package_id	gold	package_soil	soil_package_id	1
fk_organism_v2_wastewater_package	organism_v2	package_wastewater_id	gold	package_wastewater	package_wastewater_id	1
fk_organism_v2_water_package	organism_v2	water_package_id	gold	package_water	water_package_id	1
fk_organismv2_culture_type	organism_v2	culture_type	gold	cvculture_type	term	1
fk_organismv2_cultured	organism_v2	cultured	gold	cvyes_no	term	1
fk_organismv2_gram_stain	organism_v2	gram_stain	gold	cvgram_stain	term	1
fk_organismv2_isol_publication	organism_v2	isolation_publication_id	gold	publication	publication_id	1
fk_organismv2_oxygen_reqment	organism_v2	oxygen_requirement	gold	cvoxygen	term	1
fk_organismv2_type	organism_v2	organism_type	gold	cvorganism_type	term	1
fk_organismv2_uncult_type	organism_v2	uncultured_type	gold	cvuncultured_type	term	1
master_group_idv2_fk	organism_v2	master_group_id	gold	organism_v2	organism_id	1
org_biosafety_fk	organism_v2	biosafety_level	gold	cvbiosafety	term	1
org_body_prods_fk	organism_v2	host_body_product	gold	cvbody_product	term	1
org_body_site_fk	organism_v2	host_body_site	gold	cvbody_site	term	1
org_body_subsite_fk	organism_v2	host_body_subsite	gold	cvbody_subsite	term	1
org_cell_shape_fk	organism_v2	cell_shape	gold	cvcell_shape	term	1
org_color_fk	organism_v2	color	gold	cvcolor	term	1
org_commercial_fk	organism_v2	commercial	gold	cvyes_no	term	1
org_h2s_present_fk	organism_v2	h2s_present	gold	cvyes_no	term	1
org_host_gender_fk	organism_v2	host_gender	gold	cvhost_gender	term	1
org_irradiance_fk	organism_v2	irradiance	gold	cvirradiance	term	1
org_is_public_fk	organism_v2	is_public	gold	cvyes_no_only	term	1
org_is_virocell_fk	organism_v2	is_virocell	gold	cvyes_no	term	1
org_latlong_inf_fk	organism_v2	lat_long_inferred	gold	cvlatlong	term	1
org_longhurst_code_fk	organism_v2	longhurst_code	gold	longhurst_code	term	1
org_mod_by_fk	organism_v2	mod_by	gold	contact	contact_id	1
org_motility_fk	organism_v2	motility	gold	cvmotility	term	1
org_salinity_fk	organism_v2	salinity	gold	cvsalinity	term	1
org_sporultaion_fk	organism_v2	sporulation	gold	cvsporulation	term	1
org_submitter_id_fk	organism_v2	submitter_id	gold	contact	contact_id	1
org_temp_range_fk	organism_v2	temperature_range	gold	cvtemp_range	term	1
org_type_strain_fk	organism_v2	type_strain	gold	cvyes_no	term	1
organism_ecosystem_path_id	organism_v2	ecosystem_path_id	gold	ecosystem_classification_2	ecosystem_id	1
organism_v2_country_fk1	organism_v2	sample_isolation_country_id	gold	cvcountry	id	1
fk_pkg_built_env_addby_contact	package_built_environment	add_by	gold	contact	contact_id	1
fk_pkg_built_env_aerospace_struc	package_built_environment	aerospace_struc	gold	cvaerospace_struc	term	1
fk_pkg_built_env_arch_struc	package_built_environment	arch_struc	gold	cvarch_struc	term	1
fk_pkg_built_env_biosample	package_built_environment	biosample_id	gold	biosample	biosample_id	1
fk_pkg_built_env_build_docs	package_built_environment	build_docs	gold	cvbuild_docs	term	1
fk_pkg_built_env_build_occup_type	package_built_environment	build_occup_type	gold	cvbuild_occup_type	term	1
fk_pkg_built_env_building_setting	package_built_environment	building_setting	gold	cvbuilding_setting	term	1
fk_pkg_built_env_built_struc_set	package_built_environment	built_struc_set	gold	cvbuilt_struc_set	term	1
fk_pkg_built_env_ceiling_cond	package_built_environment	ceiling_cond	gold	cvdamage_condition	term	1
fk_pkg_built_env_ceiling_finish_mat	package_built_environment	ceiling_finish_mat	gold	cvceiling_finish_mat	term	1
fk_pkg_built_env_ceiling_struc	package_built_environment	ceiling_struc	gold	cvceiling_struc	term	1
fk_pkg_built_env_ceiling_texture	package_built_environment	ceiling_texture	gold	cvceiling_texture	term	1
fk_pkg_built_env_ceiling_type	package_built_environment	ceiling_type	gold	cvceiling_type	term	1
fk_pkg_built_env_ceiling_water_mold	package_built_environment	ceiling_water_mold	gold	cvmold	term	1
fk_pkg_built_env_day_of_week	package_built_environment	day_of_week	gold	cvday_of_week	term	1
fk_pkg_built_env_door_comp_type	package_built_environment	door_comp_type	gold	cvdoor_comp_type	term	1
fk_pkg_built_env_door_cond	package_built_environment	door_cond	gold	cvdamage_condition	term	1
fk_pkg_built_env_door_direction	package_built_environment	door_direction	gold	cvdoor_direction	term	1
fk_pkg_built_env_door_loc	package_built_environment	door_location	gold	cvlocation	term	1
fk_pkg_built_env_door_mat	package_built_environment	door_mat	gold	cvdoor_mat	term	1
fk_pkg_built_env_door_movement	package_built_environment	door_movement	gold	cvdoor_movement	term	1
fk_pkg_built_env_door_type	package_built_environment	door_type	gold	cvdoor_type	term	1
fk_pkg_built_env_door_type_metal	package_built_environment	door_type_metal	gold	cvdoor_type_metal	term	1
fk_pkg_built_env_door_type_wood	package_built_environment	door_type_wood	gold	cvdoor_type_wood	term	1
fk_pkg_built_env_door_water_mold	package_built_environment	door_water_mold	gold	cvmold	term	1
fk_pkg_built_env_drawings	package_built_environment	drawings	gold	cvdrawings	term	1
fk_pkg_built_env_ext_wall_orient	package_built_environment	ext_wall_orient	gold	cvorientation	term	1
fk_pkg_built_env_ext_window_orient	package_built_environment	ext_window_orient	gold	cvorientation	term	1
fk_pkg_built_env_filter_type	package_built_environment	filter_type	gold	cvfilter_type	term	1
fk_pkg_built_env_fireplace_type	package_built_environment	fireplace_type	gold	cvfireplace_type	term	1
fk_pkg_built_env_floor_cond	package_built_environment	floor_cond	gold	cvdamage_condition	term	1
fk_pkg_built_env_floor_finish_mat	package_built_environment	floor_finish_mat	gold	cvfloor_finish_mat	term	1
fk_pkg_built_env_floor_struc	package_built_environment	floor_struc	gold	cvfloor_struc	term	1
fk_pkg_built_env_floor_water_mold	package_built_environment	floor_water_mold	gold	cvfloor_water_mold	term	1
fk_pkg_built_env_furniture	package_built_environment	furniture	gold	cvfurniture	term	1
fk_pkg_built_env_gender_restroom	package_built_environment	gender_restroom	gold	cvgender_restroom	term	1
fk_pkg_built_env_handidness	package_built_environment	handidness	gold	cvhandidness	term	1
fk_pkg_built_env_heat_cool_type	package_built_environment	heat_cool_type	gold	cvheat_cool_type	term	1
fk_pkg_built_env_heat_deliv_loc	package_built_environment	heat_deliv_loc	gold	cvlocation	term	1
fk_pkg_built_env_heat_system_deliv_meth	package_built_environment	heat_system_deliv_meth	gold	cvheat_system_deliv_meth	term	1
fk_pkg_built_env_indoor_space	package_built_environment	indoor_space	gold	cvindoor_space	term	1
fk_pkg_built_env_indoor_surface	package_built_environment	indoor_surface	gold	cvindoor_surface	term	1
fk_pkg_built_env_int_wall_cond	package_built_environment	int_wall_cond	gold	cvdamage_condition	term	1
fk_pkg_built_env_light_type	package_built_environment	light_type	gold	cvlight_type	term	1
fk_pkg_built_env_mech_struc	package_built_environment	mech_struc	gold	cvmech_struc	term	1
fk_pkg_built_env_modby_contact	package_built_environment	mod_by	gold	contact	contact_id	1
fk_pkg_built_env_occup_document	package_built_environment	occup_document	gold	cvoccup_document	term	1
fk_pkg_built_env_organism	package_built_environment	organism_id	gold	organism_v2	organism_id	1
fk_pkg_built_env_package_version	package_built_environment	package_version_id	gold	package_version	package_version_id	1
fk_pkg_built_env_presence_animal	package_built_environment	presence_animal	gold	cvpresence_animal	term	1
fk_pkg_built_env_quadrant_position	package_built_environment	quadrant_position	gold	cvquadrant_position	term	1
fk_pkg_built_env_rel_sample_loc	package_built_environment	rel_sample_location	gold	cvrel_sample_location	term	1
fk_pkg_built_env_room_condt	package_built_environment	room_condt	gold	cvdamage_condition	term	1
fk_pkg_built_env_room_connected	package_built_environment	room_connected	gold	cvroom_connected	term	1
fk_pkg_built_env_room_loc	package_built_environment	room_location	gold	cvroom_location	term	1
fk_pkg_built_env_room_samp_position	package_built_environment	room_samp_position	gold	cvroom_samp_position	term	1
fk_pkg_built_env_room_type	package_built_environment	room_type	gold	cvroom_type	term	1
fk_pkg_built_env_sampling_floor	package_built_environment	sampling_floor	gold	cvsampling_floor	term	1
fk_pkg_built_env_sampling_weather	package_built_environment	sampling_weather	gold	cvsampling_weather	term	1
fk_pkg_built_env_season	package_built_environment	season	gold	cvseason	term	1
fk_pkg_built_env_season_use	package_built_environment	season_use	gold	cvseason	term	1
fk_pkg_built_env_shading_device_cond	package_built_environment	shading_device_cond	gold	cvdamage_condition	term	1
fk_pkg_built_env_shading_device_loc	package_built_environment	shading_device_loc	gold	cvshading_device_loc	term	1
fk_pkg_built_env_shading_device_type	package_built_environment	shading_device_type	gold	cvshading_device_type	term	1
fk_pkg_built_env_shading_device_water_mold	package_built_environment	shading_device_water_mold	gold	cvmold	term	1
fk_pkg_built_env_space_typ_state	package_built_environment	space_typ_state	gold	cvspace_typ_state	term	1
fk_pkg_built_env_specifications	package_built_environment	specifications	gold	cvspecifications	term	1
fk_pkg_built_env_substructure_type	package_built_environment	substructure_type	gold	cvsubstructure_type	term	1
fk_pkg_built_env_surface_air_cont	package_built_environment	surface_air_cont	gold	cvcontaminant	term	1
fk_pkg_built_env_surface_material	package_built_environment	surface_material	gold	cvsurface_material	term	1
fk_pkg_built_env_train_line	package_built_environment	train_line	gold	cvtrain_line	term	1
fk_pkg_built_env_train_stat_loc	package_built_environment	train_stat_loc	gold	cvtrain_stat_location	term	1
fk_pkg_built_env_train_stop_loc	package_built_environment	train_stop_loc	gold	cvtrain_stat_location	term	1
fk_pkg_built_env_vis_media	package_built_environment	vis_media	gold	cvvis_media	term	1
fk_pkg_built_env_wall_const_type	package_built_environment	wall_const_type	gold	cvwall_const_type	term	1
fk_pkg_built_env_wall_finish_mat	package_built_environment	wall_finish_mat	gold	cvwall_finish_mat	term	1
fk_pkg_built_env_wall_loc	package_built_environment	wall_location	gold	cvlocation	term	1
fk_pkg_built_env_wall_surface_treatment	package_built_environment	wall_surface_treatment	gold	cvwall_surface_treatment	term	1
fk_pkg_built_env_wall_texture	package_built_environment	wall_texture	gold	cvwall_texture	term	1
fk_pkg_built_env_wall_water_mold	package_built_environment	wall_water_mold	gold	cvmold	term	1
fk_pkg_built_env_water_feat_type	package_built_environment	water_feat_type	gold	cvwater_feat_type	term	1
fk_pkg_built_env_window_condition	package_built_environment	window_condition	gold	cvdamage_condition	term	1
fk_pkg_built_env_window_cover	package_built_environment	window_cover	gold	cvwindow_cover	term	1
fk_pkg_built_env_window_horiz_pos	package_built_environment	window_horiz_pos	gold	cvwindow_horiz_pos	term	1
fk_pkg_built_env_window_loc	package_built_environment	window_location	gold	cvlocation	term	1
fk_pkg_built_env_window_mat	package_built_environment	window_mat	gold	cvwindow_mat	term	1
fk_pkg_built_env_window_status	package_built_environment	window_status	gold	cvwindow_status	term	1
fk_pkg_built_env_window_type	package_built_environment	window_type	gold	cvwindow_type	term	1
fk_pkg_built_env_window_vert_pos	package_built_environment	window_vert_pos	gold	cvwindow_vert_pos	term	1
fk_pkg_built_env_window_water_mold	package_built_environment	window_water_mold	gold	cvmold	term	1
fk_pkg_host_associated_biological_status	package_host_associated	biological_status	gold	cvbiological_status	term	1
fk_pkg_host_associated_biosample	package_host_associated	biosample_id	gold	biosample	biosample_id	1
fk_pkg_host_associated_body_site	package_host_associated	host_body_site	gold	cvbody_site	term	1
fk_pkg_host_associated_contact_addby	package_host_associated	added_by	gold	contact	contact_id	1
fk_pkg_host_associated_contact_modby	package_host_associated	mod_by	gold	contact	contact_id	1
fk_pkg_host_associated_host_body_habitat	package_host_associated	host_body_habitat	gold	cvbody_subsite	term	1
fk_pkg_host_associated_host_body_product	package_host_associated	host_body_product	gold	cvbody_product	term	1
fk_pkg_host_associated_host_gender	package_host_associated	host_sex	gold	cvhost_gender	term	1
fk_pkg_host_associated_organism	package_host_associated	organism_id	gold	organism_v2	organism_id	1
fk_pkg_host_associated_oxygen_stat_sample	package_host_associated	oxygenation_status	gold	cvoxygen_stat_sample	term	1
fk_pkg_host_associated_samplecapture_status	package_host_associated	sample_capture_status	gold	cvsamplecapture_status	term	1
package_host_associated_package_version_id_fk	package_host_associated	package_version_id	gold	package_version	package_version_id	1
fk_pkg_human_associated_addby_contact	package_human_associated	add_by	gold	contact	contact_id	1
fk_pkg_human_associated_biosample	package_human_associated	biosample_id	gold	biosample	biosample_id	1
fk_pkg_human_associated_body_product	package_human_associated	host_body_product	gold	cvbody_product	term	1
fk_pkg_human_associated_body_site	package_human_associated	host_body_site	gold	cvbody_site	term	1
fk_pkg_human_associated_haart_inst_yes_no	package_human_associated	haart_initiation_status	gold	cvyes_no	term	1
fk_pkg_human_associated_host_gender	package_human_associated	host_sex	gold	cvhost_gender	term	1
fk_pkg_human_associated_medical_his_yes_no	package_human_associated	medical_history_performed	gold	cvyes_no	term	1
fk_pkg_human_associated_modby_contact	package_human_associated	mod_by	gold	contact	contact_id	1
fk_pkg_human_associated_organism	package_human_associated	organism_id	gold	organism_v2	organism_id	1
fk_pkg_human_associated_oxygen_stat_sample	package_human_associated	oxygenation_status	gold	cvoxygen_stat_sample	term	1
fk_pkg_human_associated_package_version	package_human_associated	package_version_id	gold	package_version	package_version_id	1
fk_pkg_human_associated_smoker_yes_no	package_human_associated	smoker	gold	cvyes_no	term	1
fk_pkg_human_associated_urine_collect	package_human_associated	urine_collection_method	gold	cvurinecollect	term	1
hydro_core_pkg_biosample_fk1	package_hydrocarbon_core	biosample_id	gold	biosample	biosample_id	1
hydro_core_pkg_organism_fk1	package_hydrocarbon_core	organism_id	gold	organism_v2	organism_id	1
hydrocarbon_core_package_package_version_id_fk	package_hydrocarbon_core	package_version_id	gold	package_version	package_version_id	1
hydro_fs_pkg_biosample_fk1	package_hydrocarbon_fs	biosample_id	gold	biosample	biosample_id	1
hydro_fs_pkg_organism_fk1	package_hydrocarbon_fs	organism_id	gold	organism_v2	organism_id	1
hydrocarbon_fs_package_package_version_id_fk	package_hydrocarbon_fs	package_version_id	gold	package_version	package_version_id	1
microbial_mat_biosample_fk1	package_microbial_mat	biosample_id	gold	biosample	biosample_id	1
microbial_mat_organism_fk1	package_microbial_mat	organism_id	gold	organism_v2	organism_id	1
microbial_mat_package_package_version_id_fk	package_microbial_mat	package_version_id	gold	package_version	package_version_id	1
plant_package_package_version_id_fk	package_plant	package_version_id	gold	package_version	package_version_id	1
plant_pkg_biosample_fk1	package_plant	biosample_id	gold	biosample	biosample_id	1
plant_pkg_organism_fk1	package_plant	organism_id	gold	organism_v2	organism_id	1
fk_sediment_package_addby_contact	package_sediment	added_by	gold	contact	contact_id	1
fk_sediment_package_biosample	package_sediment	biosample_id	gold	biosample	biosample_id	1
fk_sediment_package_modby_contact	package_sediment	mod_by	gold	contact	contact_id	1
fk_sediment_package_organism	package_sediment	organism_id	gold	organism_v2	organism_id	1
sediment_package_package_version_id_fk	package_sediment	package_version_id	gold	package_version	package_version_id	1
fk_package_selection_1	package_selection	package_name	gold	cvpackages	term	1
package_biosample_id_fk	package_selection	biosample_id	gold	biosample	biosample_id	1
package_organism_id_fk	package_selection	organism_id	gold	organism_v2	organism_id	1
soil_package_package_version_id_fk	package_soil	package_version_id	gold	package_version	package_version_id	1
soil_pkg_biosample_fk1	package_soil	biosample_id	gold	biosample	biosample_id	1
soil_pkg_organism_fk1	package_soil	organism_id	gold	organism_v2	organism_id	1
fk_pkg_wastewater_addby_contact	package_wastewater	add_by	gold	contact	contact_id	1
fk_pkg_wastewater_biosample	package_wastewater	biosample_id	gold	biosample	biosample_id	1
fk_pkg_wastewater_modby_contact	package_wastewater	mod_by	gold	contact	contact_id	1
fk_pkg_wastewater_organism	package_wastewater	organism_id	gold	organism_v2	organism_id	1
fk_pkg_wastewater_oxygen_stat_sample	package_wastewater	oxygenation_status	gold	cvoxygen_stat_sample	term	1
fk_pkg_wastewater_package_version	package_wastewater	package_version_id	gold	package_version	package_version_id	1
water_package_package_version_id_fk	package_water	package_version_id	gold	package_version	package_version_id	1
water_pkg_biosample_fk1	package_water	biosample_id	gold	biosample	biosample_id	1
water_pkg_organism_fk1	package_water	organism_id	gold	organism_v2	organism_id	1
fk_project_manager_id	project	project_manager_id	gold	contact	contact_id	1
fk_project_study	project	master_study_id	gold	study	study_id	1
fk_project_test_yes_no	project	is_test	gold	cvyes_no	term	1
project_active	project	active	gold	cvyes_no	term	1
project_cellular_organism_fk1	project	organism_id	gold	organism_v2	organism_id	1
project_cvseq_quality_fk1	project	sequencing_quality_id	gold	cvseq_quality	id	1
project_cvseq_quality_fk2	project	finishing_goal_id	gold	cvseq_quality	id	1
project_cvseq_status_fk1	project	sequencing_status_id	gold	cvseq_status	id	1
project_cvspecimen_fk1	project	specimen_id	gold	cvspecimen	id	1
project_mod_by_fk	project	mod_by	gold	contact	contact_id	1
project_pi	project	pi_id	gold	contact	contact_id	1
project_publication_fk1	project	isolation_publication_id	gold	publication	publication_id	1
project_single_cell_material	project	is_single_cell_material	gold	cvyes_no	term	1
project_status_fk	project	project_status	gold	cvproject_status	term	1
project_submitter_id	project	submitter_id	gold	contact	contact_id	1
project_subtype_fk	project	project_subtype	gold	cvproject_subtype	term	1
sequencing_strategy_fk	project	sequencing_strategy	gold	cvproject_type	term	1
project_ap_fk1	project_analysis_project	project_id	gold	project	project_id	1
project_ap_fk2	project_analysis_project	analysis_project_id	gold	analysis_project	analysis_project_id	1
fk_biosample	project_biosample	biosample_id	gold	biosample	biosample_id	1
fk_project	project_biosample	project_id	gold	project	project_id	1
project_collaborator_inst_fk1	project_collaborator	institution_id	gold	institution	id	1
project_collaborator_proj_fk1	project_collaborator	project_id	gold	project	project_id	1
project_cyano_metadata_pr_fk1	project_cyano_metadata	project_id	gold	project	project_id	1
project_funding_agency_in_fk1	project_funding_agency	institution_id	gold	institution	id	1
project_funding_agency_pr_fk1	project_funding_agency	project_id	gold	project	project_id	1
fk_projectrgen_id	project_genome_publication	project_id	gold	project	project_id	1
fk_publicationgen	project_genome_publication	publication_id	gold	publication	publication_id	1
sys_c0012355	project_ignored_publication	project_id	gold	project	project_id	1
