TABLE_NAME	TABLE_TYPE
dw_proposal	TABLE
dw_proposal_doe_tags	TABLE
dw_sample_fraction_deleted	TABLE
dw_sample_mapping_strategy_cv	TABLE
dw_sample_taxonomy_info	TABLE
dw_samples	TABLE
dw_sequencing_product	TABLE
dw_sequencing_project	TABLE
dw_sequencing_strategy	TABLE
dw_sow_item	TABLE
dw_sow_segment	TABLE
dw_sp_data_utilization_status	TABLE
dw_taxonomy_info	TABLE
dw_vw_api_sample_fractions	TABLE
dw_vw_contact_user	TABLE
ecosystem_classification_2	TABLE
ecosystem_view	TABLE
ena	TABLE
envo_terms_labels	TABLE
excel	TABLE
genbank	TABLE
genbank_ena_registration	TABLE
gold_img_submission_meta	TABLE
gold_img_submission_processing	TABLE
gold_master_analysis_project	TABLE
gold_master_analysis_project_publication	TABLE
gold_master_analysis_project_sra_run	TABLE
gold_master_assembly	TABLE
gold_master_biosample	TABLE
gold_master_contact	TABLE
gold_master_cvap_status	TABLE
gold_master_cvbiotic_relationship	TABLE
gold_master_cvcell_arrangement	TABLE
gold_master_cvcountry	TABLE
gold_master_cvdisease	TABLE
gold_master_cvenergy_source	TABLE
gold_master_cvhabitat	TABLE
gold_master_cvmetabolism	TABLE
gold_master_cvphenotype	TABLE
gold_master_cvrelevance	TABLE
gold_master_cvseq_quality	TABLE
gold_master_cvseq_status	TABLE
gold_master_genbank	TABLE
gold_master_hmp_project	TABLE
gold_master_institution	TABLE
gold_master_its_proposal	TABLE
gold_master_journal	TABLE
gold_master_longhurst_code	TABLE
gold_master_organism	TABLE
gold_master_organism_biotic_rel	TABLE
gold_master_organism_cell_arrangement	TABLE
gold_master_organism_disease	TABLE
gold_master_organism_energy_source	TABLE
gold_master_organism_habitat	TABLE
gold_master_organism_metabolism	TABLE
gold_master_organism_phenotype	TABLE
gold_master_permission	TABLE
gold_master_project	TABLE
gold_master_project_analysis_project	TABLE
gold_master_project_biosample	TABLE
gold_master_project_collaborator	TABLE
gold_master_project_genome_publication	TABLE
gold_master_project_relevance	TABLE
gold_master_project_sequencing_center	TABLE
gold_master_project_sequencing_method	TABLE
gold_master_publication	TABLE
gold_master_sequencing_method	TABLE
gold_master_sra_experiment	TABLE
gold_master_study	TABLE
gold_master_timestamp	TABLE
gpts_accounts	TABLE
gpts_pmo_projects	TABLE
gpts_product_catalog	TABLE
gpts_proposals	TABLE
gtdb	TABLE
hmp_project	TABLE
hmpcv_repository_status	TABLE
ignored	TABLE
img_annotation	TABLE
img_annotation_lookup	TABLE
img_rnaseq_dataset	TABLE
img_submission	TABLE
img_submission_statuscv	TABLE
img_taxon	TABLE
img_taxon_gtdbtk_lineage	TABLE
img_taxon_replacements	TABLE
img_taxon_stats	TABLE
img_taxon_stats_merfs	TABLE
img_taxonomy_collection	TABLE
institution	TABLE
institution_mapping	TABLE
institution_raw	TABLE
its_proposal	TABLE
job	TABLE
journal	TABLE
library	TABLE
longhurst_code	TABLE
missing_permission_view	TABLE
ncbi_anomalous_assembly	TABLE
ncbi_assembly	TABLE
ncbi_bioproject	TABLE
ncbi_biosample_habitat	TABLE
ncbi_genbank	TABLE
ncbi_prok_ref_sep2025	TABLE
ncbi_raw_bioproject	TABLE
ncbi_raw_bioproject_biosample	TABLE
ncbi_raw_bioproject_biosample_2025_06_05_backup	TABLE
ncbi_raw_bioproject_pubmed	TABLE
ncbi_raw_biosample	TABLE
ncbi_raw_pubmed	TABLE
ncbi_raw_sra_experiment	TABLE
ncbi_raw_sra_run	TABLE
ncbi_raw_sra_sample	TABLE
